id_indicador;id_estado;id_curso;qt_ing_fem;qt_ing_masc;qt_mat_fem;qt_mat_masc;qt_conc_fem;qt_conc_masc
152;6;5;184;573;325;1087;47;171
153;6;24;50;170;85;309;1;7
154;6;13;37;139;39;159;0;0
155;6;1;40;66;67;118;7;15
156;6;20;4;22;4;64;0;13
157;6;11;8;62;20;107;3;16
158;6;5;0;0;1;1;0;0
159;6;1;0;0;0;2;0;0
160;6;5;0;0;1;19;0;6
161;6;24;0;4;0;3;0;0
162;6;10;0;4;0;4;0;0
163;6;8;0;3;0;3;0;0
164;6;13;6;31;9;56;0;2
165;6;1;3;14;1;13;0;0
166;6;20;0;7;0;6;0;0
167;6;11;2;4;2;3;0;0
168;6;7;1;5;1;4;0;0
169;6;30;0;2;0;2;0;0
170;6;5;2;10;4;11;1;8
171;6;1;2;2;2;2;1;1
172;6;5;11;33;15;27;3;8
173;6;9;2;3;0;2;0;0
174;6;13;3;8;3;10;0;0
175;6;1;1;8;2;6;1;1
176;6;20;0;2;1;3;0;0
177;6;11;0;1;0;1;0;0
178;6;7;2;1;1;2;0;0
179;6;5;123;437;214;836;43;142
180;6;27;20;33;17;31;2;4
181;6;13;26;86;75;269;7;45
182;6;20;5;49;6;80;0;19
183;6;11;22;55;26;122;2;15
184;6;7;33;49;31;67;0;0
185;6;5;1;22;6;46;2;7
186;6;1;6;9;10;33;1;7
187;6;5;96;410;164;702;41;146
188;6;2;6;11;10;26;4;8
189;6;24;6;45;12;76;0;4
190;6;33;1;1;1;2;0;1
191;6;13;9;37;13;56;0;4
192;6;1;45;121;79;194;21;37
193;6;20;1;30;7;44;2;8
194;6;7;6;16;17;67;4;22
195;6;30;3;4;3;11;0;3
196;6;5;2;13;3;22;0;5
197;6;2;1;0;1;0;0;0
198;6;9;0;5;5;13;0;2
199;6;1;0;0;0;4;0;0
200;6;11;0;1;1;3;1;2
201;6;7;1;2;1;2;0;0
202;6;30;0;0;0;1;0;1
203;6;35;0;3;0;3;0;0
204;6;5;33;113;54;199;0;1
205;6;2;1;3;1;2;0;0
206;6;13;2;16;5;23;0;0
207;6;1;37;44;42;63;0;3
208;6;20;2;11;2;13;0;0
209;6;11;0;12;2;18;1;2
210;6;7;2;8;4;10;0;0
211;6;30;0;3;0;3;0;0
212;6;5;0;3;0;4;0;0
213;6;1;1;2;1;4;0;1
214;6;5;52;161;74;235;8;20
215;6;2;4;4;3;2;0;0
216;6;24;4;15;4;15;0;0
217;6;8;3;17;4;27;0;0
218;6;13;9;28;15;43;0;0
219;6;1;25;27;31;44;2;9
220;6;20;3;11;3;20;0;2
221;6;11;1;7;0;6;0;0
222;6;7;7;11;5;6;0;0
223;6;5;0;1;0;3;0;1
224;6;13;0;2;0;3;0;0
225;6;5;78;398;175;698;45;141
226;6;2;9;21;15;30;4;3
227;6;24;9;59;13;104;0;7
228;6;33;0;0;0;2;0;1
229;6;13;13;41;11;54;0;1
230;6;1;42;106;78;198;16;38
231;6;20;1;33;2;52;1;11
232;6;7;8;16;16;51;2;14
233;6;30;3;3;2;4;1;0
234;6;5;0;8;0;8;0;0
235;6;5;64;219;96;404;22;71
236;6;2;1;6;1;9;0;0
237;6;24;10;38;12;44;0;1
238;6;13;5;31;9;40;0;0
239;6;1;13;48;24;67;5;10
240;6;20;2;12;2;32;0;9
241;6;7;2;9;4;25;0;3
242;6;30;0;2;1;2;0;0
243;6;5;178;518;231;748;0;0
244;6;2;24;37;19;26;0;0
245;6;24;0;2;0;4;0;0
246;6;24;50;124;41;122;0;0
247;6;13;23;68;12;55;0;0
248;6;1;58;78;92;133;0;0
249;6;20;2;27;1;21;0;0
250;6;11;24;75;19;62;0;0
251;6;7;11;24;10;18;0;0
252;6;30;9;14;2;12;0;0
253;6;5;3;6;2;7;1;1
254;6;2;0;1;0;1;0;0
255;6;24;0;2;0;1;0;0
256;6;13;0;3;0;1;0;0
257;6;1;2;1;2;6;0;3
258;6;20;0;0;0;1;0;0
259;6;11;0;1;2;5;2;0
260;6;7;0;0;0;1;0;0
261;6;30;0;0;0;1;0;0
262;6;5;7;16;5;18;0;0
263;6;2;1;0;1;0;0;0
264;6;9;1;0;1;0;0;0
265;6;8;0;1;0;1;0;0
266;6;13;0;0;0;1;0;0
267;6;20;1;1;1;1;0;0
268;6;7;0;0;0;1;0;1
269;6;5;4;13;2;7;0;0
270;6;1;9;10;3;4;0;0
271;6;5;17;14;14;10;0;0
272;6;9;10;1;10;0;0;0
273;6;8;2;0;1;0;0;0
274;6;13;4;5;4;4;0;0
275;6;20;1;3;1;3;0;0
276;6;5;11;23;16;57;2;9
277;6;1;7;14;5;15;0;0
278;6;5;0;0;0;1;0;0
279;6;1;0;0;0;1;0;0
